source,target,lag,value,p_value,method,dataset
Y0,Y2,1,318.17326176033623,5.668739900501684e-62,Granger,dataset3_add_x0
Y0,Y3,1,60.01986371339576,2.3062009304405955e-14,Granger,dataset3_add_x0
Y0,Y5,1,54.73172724989682,2.93056455632647e-13,Granger,dataset3_add_x0
Y1,Y3,1,93.15176196867688,3.937708254741691e-21,Granger,dataset3_add_x0
Y1,Y5,1,8.933460930899315,0.0028686631616005793,Granger,dataset3_add_x0
Y2,Y3,1,547.547016327172,7.537399930717193e-97,Granger,dataset3_add_x0
Y2,Y5,1,353.8426690060154,8.797558782552548e-68,Granger,dataset3_add_x0
Y3,Y5,1,442.20549533353545,1.5708893738387453e-81,Granger,dataset3_add_x0
Y4,Y5,1,119.2380247090793,2.683596179770628e-26,Granger,dataset3_add_x0
Y5,Y3,1,45.14298334963253,3.076257855034637e-11,Granger,dataset3_add_x0
