x1,x2,lag,correlation,p_value,abs_correlation,method,dataset
Y1,Y3,1,0.4316760849120345,1.3186744675409767e-46,0.4316760849120345,PC,dataset1_baseline
Y1,Y3,2,0.3541825768483304,7.251154691299461e-31,0.3541825768483304,PC,dataset1_baseline
Y1,Y3,3,0.3021707056225113,1.7019665744426982e-22,0.3021707056225113,PC,dataset1_baseline
Y1,Y3,4,0.24051163715328858,1.4249044882247314e-14,0.24051163715328858,PC,dataset1_baseline
Y1,Y3,5,0.17120509227298364,5.5164201088976104e-08,0.17120509227298364,PC,dataset1_baseline
Y1,Y3,6,0.12829982483439342,4.977232984203683e-05,0.12829982483439342,PC,dataset1_baseline
Y1,Y5,1,0.16196298389407246,2.6501558648021654e-07,0.16196298389407246,PC,dataset1_baseline
Y1,Y5,2,0.22740280548586503,3.5850952177854367e-13,0.22740280548586503,PC,dataset1_baseline
Y1,Y5,3,0.21013502103912157,2.059833636376381e-11,0.21013502103912157,PC,dataset1_baseline
Y1,Y5,4,0.16587206411815789,1.4036376590391695e-07,0.16587206411815789,PC,dataset1_baseline
Y1,Y5,5,0.13338803871070695,2.4308209409662806e-05,0.13338803871070695,PC,dataset1_baseline
Y1,Y5,6,0.11274475508545378,0.0003687721876331488,0.11274475508545378,PC,dataset1_baseline
Y2,Y3,1,-0.5165061551330057,3.220565672303288e-69,0.5165061551330057,PC,dataset1_baseline
Y2,Y3,2,-0.364036703031288,1.2339309518003562e-32,0.364036703031288,PC,dataset1_baseline
Y2,Y3,3,-0.2910500045775754,6.453616964376448e-21,0.2910500045775754,PC,dataset1_baseline
Y2,Y3,4,-0.1747239366488581,2.856444449834342e-08,0.1747239366488581,PC,dataset1_baseline
Y2,Y3,5,-0.1585053448312282,5.025180822676221e-07,0.1585053448312282,PC,dataset1_baseline
Y2,Y3,6,-0.14567302162758522,3.996075540387623e-06,0.14567302162758522,PC,dataset1_baseline
Y2,Y3,7,-0.1337117477963706,2.3661744521420707e-05,0.1337117477963706,PC,dataset1_baseline
Y2,Y3,8,-0.11351514494174025,0.00034051225491302294,0.11351514494174025,PC,dataset1_baseline
Y2,Y3,9,-0.12490895186314357,8.058940114653352e-05,0.12490895186314357,PC,dataset1_baseline
Y2,Y3,10,-0.11215873004635611,0.00040670384748050874,0.11215873004635611,PC,dataset1_baseline
Y2,Y5,1,-0.4384058840362178,3.546849599283819e-48,0.4384058840362178,PC,dataset1_baseline
Y2,Y5,2,-0.48224180479173623,2.957602757672567e-59,0.48224180479173623,PC,dataset1_baseline
Y2,Y5,3,-0.3606104036354735,5.545520208584842e-32,0.3606104036354735,PC,dataset1_baseline
Y2,Y5,4,-0.27662255069957087,5.937373596824131e-19,0.27662255069957087,PC,dataset1_baseline
Y2,Y5,5,-0.20225554065719342,1.20654496038013e-10,0.20225554065719342,PC,dataset1_baseline
Y2,Y5,6,-0.21422507743209163,8.79719177354923e-12,0.21422507743209163,PC,dataset1_baseline
Y2,Y5,7,-0.18424823912086224,4.950047794841807e-09,0.18424823912086224,PC,dataset1_baseline
Y2,Y5,8,-0.1710241743428849,5.9676012439195e-08,0.1710241743428849,PC,dataset1_baseline
Y2,Y5,9,-0.1450398179480914,4.553473038742433e-06,0.1450398179480914,PC,dataset1_baseline
Y2,Y5,10,-0.13959043930859108,1.0425215186144397e-05,0.13959043930859108,PC,dataset1_baseline
Y2,Y5,11,-0.10135012529298197,0.001415427248898707,0.10135012529298197,PC,dataset1_baseline
Y3,Y5,1,0.50732668544532,1.8750572382256417e-66,0.50732668544532,PC,dataset1_baseline
