x1,x2,lag,correlation,p_value,abs_correlation,method,dataset
Y1,Y3,1,0.4066377689467948,4.5702700461839916e-41,0.4066377689467948,PC,dataset2_more_noise
Y1,Y3,2,0.29098959244144434,6.2916654580881476e-21,0.29098959244144434,PC,dataset2_more_noise
Y1,Y3,3,0.21723529363633506,4.101767280706923e-12,0.21723529363633506,PC,dataset2_more_noise
Y1,Y3,4,0.16177863074382062,2.850308812452815e-07,0.16177863074382062,PC,dataset2_more_noise
Y1,Y3,5,0.12750231176264037,5.4998763030127625e-05,0.12750231176264037,PC,dataset2_more_noise
Y1,Y3,6,0.12482892552103543,7.944473398521445e-05,0.12482892552103543,PC,dataset2_more_noise
Y1,Y3,7,0.12662996499253468,6.295734599811178e-05,0.12662996499253468,PC,dataset2_more_noise
Y1,Y3,8,0.10702875886852317,0.0007343206656669053,0.10702875886852317,PC,dataset2_more_noise
Y1,Y3,9,0.10264147754779025,0.0012137013842904404,0.10264147754779025,PC,dataset2_more_noise
Y1,Y5,1,0.14878442289129404,2.323368744149326e-06,0.14878442289129404,PC,dataset2_more_noise
Y1,Y5,2,0.26224949179599066,3.694309001139864e-17,0.26224949179599066,PC,dataset2_more_noise
Y1,Y5,3,0.1725988813983456,4.152640355789615e-08,0.1725988813983456,PC,dataset2_more_noise
Y1,Y5,4,0.13361529222486143,2.331569024407601e-05,0.13361529222486143,PC,dataset2_more_noise
Y1,Y5,5,0.1335022215153732,2.3917989357250437e-05,0.1335022215153732,PC,dataset2_more_noise
Y1,Y5,6,0.11959491860239667,0.00015721415830464422,0.11959491860239667,PC,dataset2_more_noise
Y1,Y5,7,0.12902394357355135,4.547868235827529e-05,0.12902394357355135,PC,dataset2_more_noise
Y1,Y5,8,0.10756895581889722,0.0006898676727840879,0.10756895581889722,PC,dataset2_more_noise
Y1,Y5,9,0.11806797781698573,0.00019520416176006838,0.11806797781698573,PC,dataset2_more_noise
Y2,Y3,1,-0.42779887030450114,1.0206415937705228e-45,0.42779887030450114,PC,dataset2_more_noise
Y2,Y3,2,-0.28774890103522566,1.7628820144202725e-20,0.28774890103522566,PC,dataset2_more_noise
Y2,Y3,3,-0.2305450120626621,1.7075857718143677e-13,0.2305450120626621,PC,dataset2_more_noise
Y2,Y3,4,-0.15558929916247322,8.046861277122671e-07,0.15558929916247322,PC,dataset2_more_noise
Y2,Y3,5,-0.14592951732770873,3.7983205087517248e-06,0.14592951732770873,PC,dataset2_more_noise
Y2,Y4,7,-0.10864736937126872,0.000604628219091113,0.10864736937126872,PC,dataset2_more_noise
Y2,Y4,8,-0.10272752662402318,0.001195275508635883,0.10272752662402318,PC,dataset2_more_noise
Y2,Y5,1,-0.3464814517513782,1.486389752954926e-29,0.3464814517513782,PC,dataset2_more_noise
Y2,Y5,2,-0.3648966277969488,8.589037930379293e-33,0.3648966277969488,PC,dataset2_more_noise
Y2,Y5,3,-0.2674329495748127,8.649252681016687e-18,0.2674329495748127,PC,dataset2_more_noise
Y2,Y5,4,-0.21228734823148332,1.3007570292381475e-11,0.21228734823148332,PC,dataset2_more_noise
Y2,Y5,5,-0.16831457219798032,9.257651275408541e-08,0.16831457219798032,PC,dataset2_more_noise
Y2,Y5,6,-0.12999029257943123,3.946336946056827e-05,0.12999029257943123,PC,dataset2_more_noise
Y2,Y5,7,-0.1303316932935068,3.7984531013085094e-05,0.1303316932935068,PC,dataset2_more_noise
Y2,Y5,8,-0.11274733032447096,0.0003737368851313744,0.11274733032447096,PC,dataset2_more_noise
Y3,Y4,4,0.11033163230315153,0.00048612106491791306,0.11033163230315153,PC,dataset2_more_noise
Y3,Y4,5,0.12061085767623483,0.0001369290237461078,0.12061085767623483,PC,dataset2_more_noise
Y3,Y4,6,0.10605605935725812,0.0008111775785074438,0.10605605935725812,PC,dataset2_more_noise
Y3,Y5,1,0.539612098670983,1.4492919209142475e-76,0.539612098670983,PC,dataset2_more_noise
Y3,Y5,2,0.24736427465261465,2.2224668449199004e-15,0.24736427465261465,PC,dataset2_more_noise
Y3,Y5,3,0.20447325910979597,7.164055331317858e-11,0.20447325910979597,PC,dataset2_more_noise
Y3,Y5,4,0.20265595529441685,1.0838081193828269e-10,0.20265595529441685,PC,dataset2_more_noise
Y3,Y5,5,0.15971142917247422,4.1036926818839535e-07,0.15971142917247422,PC,dataset2_more_noise
Y3,Y5,6,0.12130425873301483,0.00012617588791858514,0.12130425873301483,PC,dataset2_more_noise
Y3,Y5,7,0.11820138547050617,0.00018909749905207893,0.11820138547050617,PC,dataset2_more_noise
Y3,Y5,8,0.10309101526879894,0.0011478532048984893,0.10309101526879894,PC,dataset2_more_noise
Y4,Y5,1,0.36123509023439737,3.715569832784007e-32,0.36123509023439737,PC,dataset2_more_noise
Y4,Y5,2,0.1838653608412123,4.880699633729023e-09,0.1838653608412123,PC,dataset2_more_noise
Y4,Y5,3,0.11355183315613712,0.00032744325971587203,0.11355183315613712,PC,dataset2_more_noise
Y5,Y3,1,0.12121377001810918,0.00012274813097740817,0.12121377001810918,PC,dataset2_more_noise
