x1,x2,lag,te_value,method,dataset
Y1,Y2,6,0.07382741221107672,TransferEntropy,dataset4_add_x4a
Y1,Y2,7,0.06898098916088945,TransferEntropy,dataset4_add_x4a
Y1,Y2,8,0.09087471447182842,TransferEntropy,dataset4_add_x4a
Y1,Y2,9,0.095195154837058,TransferEntropy,dataset4_add_x4a
Y1,Y2,10,0.10645118573098684,TransferEntropy,dataset4_add_x4a
Y1,Y2,11,0.08435075723793228,TransferEntropy,dataset4_add_x4a
Y1,Y3,1,0.4428691300409547,TransferEntropy,dataset4_add_x4a
Y1,Y3,2,0.3449511922596217,TransferEntropy,dataset4_add_x4a
Y1,Y3,3,0.27908107503296936,TransferEntropy,dataset4_add_x4a
Y1,Y3,4,0.1964902915849488,TransferEntropy,dataset4_add_x4a
Y1,Y3,5,0.15534471094425295,TransferEntropy,dataset4_add_x4a
Y1,Y3,6,0.16271312267434318,TransferEntropy,dataset4_add_x4a
Y1,Y3,7,0.1256026167108518,TransferEntropy,dataset4_add_x4a
Y1,Y3,8,0.11274768436490346,TransferEntropy,dataset4_add_x4a
Y1,Y3,9,0.11787498225798065,TransferEntropy,dataset4_add_x4a
Y1,Y3,10,0.10116390446706747,TransferEntropy,dataset4_add_x4a
Y1,Y3,11,0.15686502503702496,TransferEntropy,dataset4_add_x4a
Y1,Y3,12,0.10196816861603057,TransferEntropy,dataset4_add_x4a
Y1,Y4,2,0.08150268847208487,TransferEntropy,dataset4_add_x4a
Y1,Y4,3,0.08357571973329646,TransferEntropy,dataset4_add_x4a
Y1,Y4,4,0.09313051094772787,TransferEntropy,dataset4_add_x4a
Y1,Y4,5,0.09608988448429226,TransferEntropy,dataset4_add_x4a
Y1,Y4,6,0.09352171056197699,TransferEntropy,dataset4_add_x4a
Y1,Y4,7,0.10416165830104226,TransferEntropy,dataset4_add_x4a
Y1,Y4,8,0.07315355105977914,TransferEntropy,dataset4_add_x4a
Y1,Y4,12,0.09022742478682566,TransferEntropy,dataset4_add_x4a
Y1,Y5,1,0.14099311597762137,TransferEntropy,dataset4_add_x4a
Y1,Y5,2,0.21682713044342056,TransferEntropy,dataset4_add_x4a
Y1,Y5,3,0.19716315300988546,TransferEntropy,dataset4_add_x4a
Y1,Y5,4,0.15379361782363327,TransferEntropy,dataset4_add_x4a
Y1,Y5,5,0.09751269989174825,TransferEntropy,dataset4_add_x4a
Y1,Y5,6,0.11752577614656252,TransferEntropy,dataset4_add_x4a
Y1,Y5,7,0.1256086906878285,TransferEntropy,dataset4_add_x4a
Y1,Y5,8,0.1178313704064775,TransferEntropy,dataset4_add_x4a
Y1,Y5,9,0.1350550935175656,TransferEntropy,dataset4_add_x4a
Y1,Y5,10,0.11705600520986219,TransferEntropy,dataset4_add_x4a
Y1,Y5,11,0.11149697253165576,TransferEntropy,dataset4_add_x4a
Y1,Y5,12,0.09579391812379083,TransferEntropy,dataset4_add_x4a
Y1,Y4a,3,0.07342268248156557,TransferEntropy,dataset4_add_x4a
